id,Lat,Long,InjTopDepth,InjBotDepth,TotalCumVolume,AvgPressurePSI,WellStatus,WellType,QuakeDepth,Maxmagnitude,CountQuake,Avgmagnitude
1892,36.85,-97.4,2810,2909,521666,39.86111111,AC,2DNC,5,2.3,1,2.3
1893,36.94,-98.3,5750,6840,5694375,0.833333333,AC,2DNC,6.4505,2.2,2,2
1895,36.49,-97.7,6932,8100,373037,3.25,AC,2DNC,5,2.4,1,2.4
1899,36.03,-96.5,2695,2706,66000,10,AC,2RIn,4.025,1.7,1,1.7
1905,36.06,-97.3,3950.666667,5499.666667,7497872,61.89795465,AC,2DNC,4.059666667,3.4,9,2.6
1908,36.34,-96.9,4518,5634,11685990,115.3295,AC,2DNC,3.84,2.8,4,2.1
1911,36.51,-97.5,4970,5100,20100,NA,AC,2DNC,4.832,2.7,1,2.7
1913,35.05,-96.5,4330,4350,31230,NA,AC,2DNC,5,2,1,2
1914,36.58,-97.4,5200,7500,8730211.5,0.277777778,AC,2DNC,6.810846154,2.7,13,2.261538462
1915,36.31,-97.2,NA,NA,168416,5,AC,2RIn,5.0885,2.5,4,2.4
1916,34.59,-97.5,3200,3800,163,700,AC,2RIn,5.486,2.5,1,2.5
1924,36.41,-97.3,5550,6960,9670117,320.452381,AC,2DCm,6.378454545,2.8,11,2.1
1926,36.52,-97.3,2160,2314,337621,37.76190476,AC,2DNC,6.3234,3.2,5,2.64
1931,36.42,-99,NA,NA,5173342,631.1666667,AC,2DNC,6.604,2.7,1,2.7
1937,36.53,-97.8,NA,NA,74187,20.98333333,AC,2DNC,4.4532,2.6,5,2.42
1945,34.18,-96.8,5998,6432,95440,NA,AC,2DNC,5,3,1,3
1946,36.3,-97.4,4033,4038,50600,150,AC,2DNC,6.138,1.7,1,1.7
1947,36.94,-97.4,4429.5,6453,9499372,13.22083333,AC,2DNC,5.322,2.6,1,2.6
1948,36.53,-97.2,2160,2330,196004,100,AC,2DNC,5.885,2,2,1.95
1956,36.3,-98.2,NA,NA,2063634,600,AC,2DNC,5.940428571,3,7,2.442857143
1958,36.33,-96.7,NA,NA,94440,25,AC,2RIn,1.111,2.1,1,2.1
1961,36.87,-98.2,5730,7450,18625884,90.37361111,AC,2DNC,5.901266667,3.1,15,2.393333333
1962,36.79,-98.5,4558,4611,3345809,257.1428571,AC,2DCm,5.8404,3.5,5,2.52
1963,36.78,-97.7,6030,7128,5933680,17.72222222,AC,2DNC,4.8158,2.5,5,2.08
1979,36.92,-98.8,6030,7160,10167571,NA,AC,2DNC,5.3974,2.7,5,2.32
1980,36.92,-97.8,5550,7000,1687124,NA,AC,2DCm,3.7756,3,5,2.46
1981,36.05,-96.8,NA,NA,108270,23.13968254,AC,2DNC,4.38125,2.7,8,2.175
1982,35.9,-97.2,4932,4955,2490286,NA,AC,2DNC,6.60075,3.1,4,2.525
1987,35.88,-97.2,NA,NA,NA,NA,NA,NA,5.9365,3.1,2,3.05
1991,36.54,-98.4,6276.5,7397.5,4808040,35.32714286,AC,2DNC,5.63,3.1,6,2.283333333
1993,36.45,-97.4,2199,2211,8326010,7.142857143,AC,2DNC,6.714,2.5,3,2.233333333
1997,36.77,-98.3,6089,8775.5,21626771,173.4590909,AC,2DNC,3.96,2.1,1,2.1
1998,36.5,-98.4,5150,5590,844184,92.4,PA,2DCm,5.6364,2.8,5,2.42
2000,35.94,-96.7,3954,5130,832795,NA,AC,2DNC,4.4945,2.6,6,2.233333333
2004,36.43,-97.3,2150,2386,26400,260,AC,2DNC,6.629444444,2.6,9,2.333333333
2007,35.88,-97,1560,1970,191392,320,AC,2DNC,4.585,3,2,2.7
2014,36.55,-98.2,7600,8720,8705093,58.08333333,AC,2DNC,5.85925,2.4,4,2.225
2015,36.17,-97.6,NA,NA,2178170,342.8996599,AC,2DNC,5.404,2.6,2,2.35
2021,36.34,-97.6,1686.5,1695,1607366,148.774531,AC,2RIn,5.99,2.7,3,2.5
2023,36.19,-97.3,4640.25,5041.25,1766249,206.1843975,AC,2RIn,6.095285714,3,7,2.385714286
2024,36.9,-98.2,5221.666667,5794,40511835,299.1227353,AC,2RIn,5.447,2.7,2,2.6
2028,36.23,-97.4,3330,4050,573360.9,NA,AC,2DNC,6.73,2.5,5,2.32
2029,36.27,-97.7,3230,3260,1170486,548.4166667,AC,2DCm,4.016285714,2.8,7,2.328571429
2031,36.41,-97.2,5100,6500,1329317,2.177777778,AC,2DNC,5,2.2,1,2.2
2037,36.84,-98.5,6188,9982,48278125,15.87878788,AC,2DNC,4.7675,2.1,2,2
